Name,Movie_url,Poster_url,Year,Category,Run_Time,Rating,Storyline,Index
The Blue Shell Incident,https://www.imdb.com/title/tt11290788/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNTY4ZjAwOTktY2I1NS00ZjA0LWExYmUtNTUzYTdlMzEwZjNmXkEyXkFqcGdeQXVyODM5MTgwMjc@._V1_UX140_CR0,0,140,209_AL_.jpg",2019,"Short, Musical, Reality-TV            ",26 min,9.5,"After shenanigans happened at a local bar, two brothers are against each other, both out seeking revenge.",0
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX140_CR0,0,140,209_AL_.jpg",1994,Drama            ,142 min,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",1
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg",1972,"Crime, Drama            ",175 min,9.2,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",2
The Web,https://www.imdb.com/title/tt5021522/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZTJlMzQxNWEtOWUyYS00MTBjLWIzYjQtYTQwNmU0ZjI2NjU5XkEyXkFqcGdeQXVyMTYyOTk1MDc0._V1_UX140_CR0,0,140,209_AL_.jpg",2013,"Short, Sci-Fi            ",3 min,9.2,"Microsoft Founder Bill Gates has implanted computer chips into asteroids in a diabolical scheme, and one hacker must stop him.",3
The Chaos Class,https://www.imdb.com/title/tt0252487/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMGRjOGJhNDctZWYyNi00YzE1LWIwMGQtNTI1MDU1OTNmZjhlXkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_UX140_CR0,0,140,209_AL_.jpg",1975,"Comedy, Drama            ",87 min,9.2,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.",4
Depeche Mode: Devotional,https://www.imdb.com/title/tt0276902/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjE3ODM3MzE3Nl5BMl5BanBnXkFtZTcwNjg5OTYyMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",1993,"Documentary, Music            ",93 min,9.1,Depeche Mode live in Europe 1993.,5
The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY209_CR0,0,140,209_AL_.jpg",2008,"Action, Crime, Drama            ",152 min,9,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",6
Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg",1993,"Biography, Drama, History            ",195 min,9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",7
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR0,0,140,209_AL_.jpg",2003,"Action, Adventure, Drama            ",201 min,9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,8
The Godfather Part II,https://www.imdb.com/title/tt0071562/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg",1974,"Crime, Drama            ",202 min,9,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",9
